,Ana Pinzon Dep 1:RASI,,Ana Pinzon Dep 1:RPSI,,Ana Pinzon Dep 1:RTHI,,Ana Pinzon Dep 1:RKNE,,Ana Pinzon Dep 1:RTIB,,Ana Pinzon Dep 1:RANK,,Ana Pinzon Dep 1:RHEE,,Ana Pinzon Dep 1:RTOE,
Frame,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z
,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
99,-150.649612,1268.984253,-350.499329,1289.246216,-215.641357,963.945984,-241.119324,807.076782,-298.244446,616.879395,-341.03125,424.799988,-395.893311,390.53064,-184.354355,379.686035
100,-149.055115,1268.674561,-348.796143,1289.027832,-213.131989,963.541504,-238.182053,806.527771,-296.545593,616.613831,-340.791962,424.849548,-395.893036,390.553741,-184.405182,379.643311
101,-147.438278,1268.342896,-347.060059,1288.764038,-210.441849,963.091431,-235.0009,805.926758,-294.717468,616.333862,-340.520508,424.910736,-395.877716,390.592377,-184.440857,379.576691
102,-145.794357,1267.983032,-345.287506,1288.451416,-207.580597,962.591492,-231.586151,805.273193,-292.77002,616.039612,-340.216125,424.986084,-395.845642,390.649231,-184.458984,379.488159
103,-144.117035,1267.589111,-343.473389,1288.08728,-204.562805,962.037842,-227.954544,804.566772,-290.71698,615.730896,-339.879028,425.077332,-395.795807,390.726562,-184.457993,379.381195
104,-142.398499,1267.154907,-341.611267,1287.668213,-201.407471,961.427917,-224.129379,803.807556,-288.574921,615.406616,-339.510071,425.184875,-395.727753,390.825928,-184.437119,379.260101
105,-140.629913,1266.676147,-339.693451,1287.192261,-198.137466,960.76001,-220.140411,802.995483,-286.362915,615.066284,-339.111267,425.30777,-395.641754,390.947815,-184.396423,379.12915
106,-138.802002,1266.14917,-337.711792,1286.657104,-194.778473,960.034424,-216.023636,802.131653,-284.101257,614.709473,-338.685638,425.44397,-395.538849,391.091675,-184.336502,378.992249
107,-136.90564,1265.572021,-335.65799,1286.061279,-191.357941,959.253479,-211.82045,801.217773,-281.810242,614.336975,-338.237122,425.590546,-395.420563,391.255341,-184.258255,378.852051
108,-134.932648,1264.946045,-333.524658,1285.404663,-187.903366,958.421509,-207.576294,800.257874,-279.508972,613.950562,-337.770508,425.74408,-395.288849,391.435638,-184.162643,378.709412
109,-132.876678,1264.274414,-331.305939,1284.687988,-184.440598,957.545593,-203.33847,799.257812,-277.213562,613.553894,-337.29068,425.901947,-395.145844,391.628418,-184.050385,378.563232
110,-130.733963,1263.5625,-328.998566,1283.913208,-180.991776,956.634399,-199.153442,798.226318,-274.935699,613.152222,-336.80191,426.062531,-394.992889,391.82959,-183.921631,378.410278
111,-128.504044,1262.81897,-326.602295,1283.083984,-177.573364,955.69873,-195.062912,797.174988,-272.680908,612.752258,-336.30722,426.226471,-394.830536,392.036499,-183.776031,378.245575
112,-126.190186,1262.053223,-324.120728,1282.205566,-174.194626,954.750427,-191.09996,796.117981,-270.447815,612.361816,-335.80719,426.397156,-394.657745,392.249481,-183.61264,378.062683
113,-123.799782,1261.276367,-321.561401,1281.28418,-170.856201,953.802063,-187.284851,795.071411,-268.227081,611.988464,-335.299286,426.581207,-394.471283,392.473969,-183.430222,377.854767
114,-121.344109,1260.499146,-318.935699,1280.328125,-167.549973,952.865845,-183.621628,794.052612,-266.001587,611.639587,-334.77713,426.788361,-394.265778,392.721405,-183.227722,377.615143
115,-118.837959,1259.731079,-316.258453,1279.346069,-164.259644,951.952637,-180.096024,793.077881,-263.747345,611.319885,-334.230621,427.031006,-394.033447,393.010773,-183.004715,377.338409
116,-116.298683,1258.979614,-313.54718,1278.347656,-160.962677,951.071106,-176.675415,792.161316,-261.435516,611.031616,-333.646362,427.322998,-393.764801,393.367493,-182.762283,377.020874
117,-113.745102,1258.248657,-310.820831,1277.342651,-157.633316,950.226685,-173.311264,791.312988,-259.035034,610.772461,-333.008484,427.678009,-393.449402,393.822205,-182.50325,376.661224
118,-111.195915,1257.538818,-308.098206,1276.341431,-154.246826,949.420715,-169.944412,790.536316,-256.516479,610.536133,-332.300903,428.107361,-393.077148,394.406738,-182.232864,376.260254
119,-108.668022,1256.845459,-305.396576,1275.354004,-150.784058,948.650452,-166.512817,789.828308,-253.856415,610.311523,-331.509155,428.617462,-392.639893,395.149719,-181.95874,375.820801
120,-106.174721,1256.161377,-302.729828,1274.390747,-147.236588,947.909241,-162.961182,789.177979,-251.041626,610.083496,-330.623322,429.208099,-392.13324,396.070892,-181.690521,375.347076
